year,land_cover_classes,total,
2021,Natural aquatic vegetated: Woody," 1,190 ",
2021,Water: Perennial," 131,551 ",
2021,Water: Non-perennial," 129,191 ",
2021,Tidal area," 8,458 ",
2021,No data," 1,500 ",
2022,Artificial surfaces," 158,734 ",
2022,Cultivated terrestrial vegetated: Herbaceous," 9,893,275 ",
2022,Cultivated terrestrial vegetated: Woody," 856,803 ",
2022,Natural terrestrial vegetated: Herbaceous," 3,372,027 ",
2022,Natural terrestrial vegetated: Woody," 7,952,238 ",
2022,Natural surfaces," 163,165 ",
2022,Natural aquatic vegetated: Herbaceous, 150 ,
2022,Natural aquatic vegetated: Woody," 1,204 ",
2022,Water: Perennial," 152,609 ",
2022,Water: Non-perennial," 187,626 ",
2022,Tidal area," 8,423 ",
2022,No data," 3,381 ",
2023,Artificial surfaces," 158,885 ",
2023,Cultivated terrestrial vegetated: Herbaceous," 8,832,784 ",
2023,Cultivated terrestrial vegetated: Woody," 703,652 ",
2023,Natural terrestrial vegetated: Herbaceous," 4,482,771 ",
2023,Natural terrestrial vegetated: Woody," 8,106,461 ",
2023,Natural surfaces," 126,129 ",
2023,Natural aquatic vegetated: Herbaceous, 155 ,
2023,Natural aquatic vegetated: Woody," 1,210 ",
2023,Water: Perennial," 203,435 ",
2023,Water: Non-perennial," 121,789 ",
2023,Tidal area," 8,493 ",
2023,No data," 3,873 ",
2024,Artificial surfaces," 162,712 ",
2024,Cultivated terrestrial vegetated: Herbaceous," 6,906,120 ",
2024,Cultivated terrestrial vegetated: Woody," 312,703 ",
2024,Natural terrestrial vegetated: Herbaceous," 6,720,775 ",
2024,Natural terrestrial vegetated: Woody," 8,027,434 ",
2024,Natural surfaces," 334,393 ",
2024,Natural aquatic vegetated: Herbaceous, 193 ,
2024,Natural aquatic vegetated: Woody," 1,219 ",
2024,Water: Perennial," 177,126 ",
2024,Water: Non-perennial," 95,578 ",
2024,Tidal area," 8,446 ",
2024,No data," 2,938 ",
